id,html_files
log,static\tools\admin-log.html; templates\admin_call_log.html
tbody,static\tools\askchip-diagnostics.html
topbar,templates\index.html
statusBanner,templates\index.html
navMenuBtn,templates\index.html
navMenu,templates\index.html
navProfile,templates\index.html
navHistory,templates\index.html
navLogout,templates\index.html
layout,templates\index.html
chatText,templates\index.html
chatSendBtn,templates\index.html
chatTTS,templates\index.html
chipStage,templates\index.html
chipImage,templates\index.html
chipMouthImg,templates\index.html
zAudio,templates\index.html
zChat,templates\index.html
laneBadge,templates\index.html
zStart,templates\index.html
zEnd,templates\index.html
zChatMenu,templates\index.html
laneText,templates\index.html
laneLive,templates\index.html
profileModal,templates\index.html
profileHint,templates\index.html
profileForm,templates\index.html
saveProfileBtn,templates\index.html
cancelProfileBtn,templates\index.html
loginModal,templates\index.html
loginForm,templates\index.html
cancelLoginBtn,templates\index.html
